Id;Rol;Mensaje;Fecha;Classification;Topic;Change
IlfiMq3zNVghHB9;User;que metodos habian en el testing? el de caja blanca y cual mas? que es lo que hacian??;18:28:35 - 04/03/2025;Conceptual Question;Testing;No
IlfiMq3zNVghHB9;semantic_search;Funcionales: como las de caja negra, pero comprobando funcionalidades conjuntas. Otros tipos de pruebas  Pruebas de sistema: Pruebas funcionales de todo el sistema completo. Pruebas de aceptación: Pruebas funcionales que realiza el cliente antes de poner la aplicación en producción. Recorridos (walkthroughs), Aleatorias (random testing), Solidez (robustness testing), Aguante (stress testing), Prestaciones (performance testing), Conformidad u Homologación (conformance testing), Interoperabilidad (interoperability testing), Regresión (regression testing), Mutación (mutation testing), Pruebas de humo (smoke testing), Pruebas de caja gris, Pruebas de base de datos, Pruebas de seguridad, Pruebas de documentación, Pruebas de usabilidad, Pruebas de instalación, Pruebas de tolerancia a fallos, Pruebas de recuperación ante fallos.  Plan de pruebas  Es un conjunto de pruebas a realizar.Funcionales: como las de caja negra, pero comprobando funcionalidades conjuntas.  Otros tipos de pruebas  Pruebas de sistema: Pruebas funcionales de todo el sistema completo, juntando el software desarrollado y el resto de componentes que interactúan con él. Pruebas de aceptación: Pruebas funcionales que realiza el cliente antes de poner la aplicación en producción.  Plan de pruebas  Es un conjunto de pruebas a realizar.Cada prueba debe dejar claro qué tipo de propiedades se quieren probar, cómo se mide el resultado, especificar en qué consiste la prueba, y definir cuál es el resultado que se espera.  Ejercicios  Ejercicio 1A: Diseña una clase que lleve a cabo pruebas unitarias de caja blanca sobre el siguiente código, maximizando la cobertura.algo habrá que hacer. Criterios de buenas pruebas: Completas, Automatizables, Repetibles o Reutilizables, Independientes, Profesionales.  Tipos de pruebas  Pruebas de Unidad (Pruebas Unitarias) Caja Blanca (estructural): Cobertura de métodos, líneas/instrucciones, ramas/condiciones/bucles. Caja Negra (funcional): Cobertura de requisitos.   Pruebas de Integración Otros tipos de pruebas  Pruebas unitarias  Caja blanca: Objetivo: probar exhaustivamente la estructura del código.Cobertura: es una medida del porcentaje de código que ha sido probado o “cubierto” con las pruebas. Caja negra: Objetivo: probar la funcionalidad del código. Intentan encontrar casos en los que el módulo no atiende a su especificación. Especialmente indicadas en los módulos que van a ser interfaz con el usuario.  Pruebas de Integración  Involucran varios módulos (métodos, clases…) Pueden ser estructurales o funcionales. Estructurales: como las de caja blanca, pero analizando llamadas entre módulos.;18:28:35 - 04/03/2025;;;
IlfiMq3zNVghHB9;CharlieBOT;En el testing, además del método de caja blanca, también se utiliza el método de caja negra.   Caja Blanca (estructural): Este método se enfoca en la cobertura de métodos, líneas/instrucciones, y ramas/condiciones/bucles del código. El objetivo es probar exhaustivamente la estructura del código, asegurando que todas las partes del código sean probadas.  Caja Negra (funcional): Por otro lado, el método de caja negra se enfoca en la cobertura de requisitos y en probar la funcionalidad del código. Este método intenta encontrar casos en los que el módulo no atiende a su especificación. Especialmente indicado para los módulos que van a ser interfaz con el usuario.   Ambos métodos son importantes para garantizar la calidad del software, ya que se complementan al probar diferentes aspectos del código.;18:28:38 - 04/03/2025;;;
IlfiMq3zNVghHB9;User;y como funcionan?;18:30:41 - 04/03/2025;Conceptual Question;Testing;No
IlfiMq3zNVghHB9;semantic_search;;18:30:41 - 04/03/2025;;;
IlfiMq3zNVghHB9;CharlieBOT;Caja Blanca (estructural): Este método funciona revisando el código fuente y diseñando pruebas que garanticen que todas las partes del código sean ejecutadas al menos una vez. Se analiza la estructura interna del software y se crean pruebas para cubrir todas las posibles ramas de ejecución, líneas de código y condiciones. Esto permite identificar posibles errores en la lógica del programa y en la implementación de los algoritmos.  Caja Negra (funcional): En este método, no se tiene en cuenta la estructura interna del código, sino que se diseñan pruebas basadas en la especificación de requisitos del software. Se prueban las entradas y salidas del sistema, así como su comportamiento en diferentes situaciones. El objetivo es validar que el software cumple con los requisitos funcionales establecidos, sin importar cómo esté implementado internamente.   Ambos métodos son complementarios y se utilizan en conjunto para garantizar una cobertura exhaustiva en las pruebas de software.;18:30:45 - 04/03/2025;;;
IlfiMq3zNVghHB9;User;Supongamos que tendremos una base de datos de alumnos con la nota obtenida en su exámen más reciente. Para simplificar, primero:  Cree una clase simple de Java para representar a un Student (nombre: String, nota: float) encapsulando sus campos. Cree una clase StudentDAOMock con los siguientes métodos públicos: a. Constructor por defecto que genere un array de 2 objetos Student con nombre y nota (entre 0.0f y 10.0f) aleatorias y que lo guarde en su estado interno. Véase la documentación de Math.random() como ayuda.;19:12:28 - 04/03/2025;Complete Solution;Java;Yes
IlfiMq3zNVghHB9;semantic_search;"http://www.uc3m.es/portal/page/portal/organizacion/secret_general/normativa/estudiantes/estudios_grado/Acuerdo%20situaciones%20defraudaci%C3%B3n%20ex%C3%A1menes-2002.pdf Peso porcentual del Examen Final: 50 Peso porcentual del resto de la evaluación: 50 BIBLIOGRAFÍA BÁSICA  Mark A. Weiss ""Data Structures and Problem Solving Using Java"", Addison-Wesley. Mark.A. Weiss ""Estructuras de datos en Java"", Pearson. Michael T.";19:12:28 - 04/03/2025;;;
IlfiMq3zNVghHB9;CharlieBOT;"public class Student {     private String name;     private float grade;      public Student(String name, float grade) {         this.name = name;         this.grade = grade;     }      // Getters and setters     public String getName() {         return name;     }      public void setName(String name) {         this.name = name;     }      public float getGrade() {         return grade;     }      public void setGrade(float grade) {         this.grade = grade;     } }  import java.util.Random;  public class StudentDAOMock {     private Student[] students;      public StudentDAOMock() {         students = new Student[2];         Random random = new Random();         for (int i = 0; i < 2; i++) {             String name = ""Student"" + (i + 1);             float grade = (float) (Math.random() * 10); // Random grade between 0.0 and 10.0             students[i] = new Student(name, grade);         }     }      // Other methods can be added for retrieving and manipulating student data }";19:12:31 - 04/03/2025;;;
IlfiMq3zNVghHB9;User;b. findAll() -> Student[], que devuelva el array de alumnos creados en el constructor.;19:19:55 - 04/03/2025;Code Snipett;Java;No
